type   n   time 
basic             9  2.000000000000049E-006
dotproduct             9  2.000000000000049E-006
cached             9  2.000000000000049E-006
both             9  1.999999999999940E-006
builtin             9  3.000000000000073E-006
basic_o2             9  1.999999999999940E-006
dotproduct_o2             9  2.000000000000049E-006
cached_o2             9  1.999999999999940E-006
both_o2             9  2.000000000000049E-006
builtin_o2             9  2.000000000000049E-006
basic            16  2.000000000000049E-006
dotproduct            16  2.999999999999965E-006
cached            16  2.999999999999965E-006
both            16  2.000000000000049E-006
builtin            16  2.999999999999965E-006
basic_o2            16  2.000000000000049E-006
dotproduct_o2            16  2.000000000000049E-006
cached_o2            16  1.999999999999940E-006
both_o2            16  2.000000000000049E-006
builtin_o2            16  2.000000000000049E-006
basic            25  2.999999999999965E-006
dotproduct            25  3.000000000000073E-006
cached            25  2.999999999999965E-006
both            25  2.999999999999965E-006
builtin            25  3.999999999999989E-006
basic_o2            25  2.000000000000049E-006
dotproduct_o2            25  2.000000000000049E-006
cached_o2            25  2.999999999999965E-006
both_o2            25  3.000000000000073E-006
builtin_o2            25  3.000000000000073E-006
basic            36  5.000000000000013E-006
dotproduct            36  3.999999999999989E-006
cached            36  6.000000000000037E-006
both            36  2.999999999999965E-006
builtin            36  3.999999999999989E-006
basic_o2            36  2.000000000000049E-006
dotproduct_o2            36  2.999999999999965E-006
cached_o2            36  2.999999999999965E-006
both_o2            36  6.000000000000037E-006
builtin_o2            36  2.999999999999965E-006
basic            49  5.000000000000013E-006
dotproduct            49  3.999999999999989E-006
cached            49  5.999999999999929E-006
both            49  5.000000000000013E-006
builtin            49  6.000000000000037E-006
basic_o2            49  3.000000000000073E-006
dotproduct_o2            49  2.999999999999965E-006
cached_o2            49  2.999999999999965E-006
both_o2            49  1.999999999999940E-006
builtin_o2            49  3.000000000000073E-006
basic            64  6.999999999999845E-006
dotproduct            64  4.999999999999905E-006
cached            64  7.000000000000062E-006
both            64  5.999999999999929E-006
builtin            64  7.999999999999978E-006
basic_o2            64  2.000000000000049E-006
dotproduct_o2            64  3.000000000000073E-006
cached_o2            64  2.999999999999965E-006
both_o2            64  2.999999999999965E-006
builtin_o2            64  2.999999999999965E-006
basic            81  9.000000000000002E-006
dotproduct            81  6.999999999999953E-006
cached            81  9.000000000000002E-006
both            81  6.999999999999953E-006
builtin            81  1.000000000000003E-005
basic_o2            81  2.999999999999965E-006
dotproduct_o2            81  3.000000000000073E-006
cached_o2            81  3.000000000000073E-006
both_o2            81  2.999999999999965E-006
builtin_o2            81  3.000000000000073E-006
basic           100  1.199999999999997E-005
dotproduct           100  7.999999999999978E-006
cached           100  2.999999999999997E-005
both           100  9.000000000000002E-006
builtin           100  1.300000000000010E-005
basic_o2           100  2.999999999999965E-006
dotproduct_o2           100  2.999999999999965E-006
cached_o2           100  2.999999999999965E-006
both_o2           100  3.000000000000073E-006
builtin_o2           100  2.999999999999965E-006
basic           121  1.499999999999993E-005
dotproduct           121  1.000000000000003E-005
cached           121  1.600000000000006E-005
both           121  1.099999999999994E-005
builtin           121  1.699999999999998E-005
basic_o2           121  2.999999999999965E-006
dotproduct_o2           121  3.999999999999989E-006
cached_o2           121  2.999999999999965E-006
both_o2           121  3.000000000000073E-006
builtin_o2           121  2.999999999999965E-006
basic           144  1.900000000000003E-005
dotproduct           144  1.200000000000007E-005
cached           144  1.899999999999992E-005
both           144  1.300000000000010E-005
builtin           144  2.100000000000008E-005
basic_o2           144  3.999999999999989E-006
dotproduct_o2           144  3.999999999999989E-006
cached_o2           144  5.000000000000013E-006
both_o2           144  3.999999999999989E-006
builtin_o2           144  3.999999999999989E-006
basic           169  2.300000000000002E-005
dotproduct           169  1.400000000000002E-005
cached           169  4.399999999999999E-005
both           169  1.699999999999998E-005
builtin           169  2.499999999999996E-005
basic_o2           169  5.000000000000013E-006
dotproduct_o2           169  5.000000000000013E-006
cached_o2           169  6.000000000000037E-006
both_o2           169  3.999999999999989E-006
builtin_o2           169  5.000000000000013E-006
basic           196  2.999999999999997E-005
dotproduct           196  2.999999999999997E-005
cached           196  2.999999999999997E-005
both           196  2.000000000000005E-005
builtin           196  3.100000000000010E-005
basic_o2           196  6.000000000000037E-006
dotproduct_o2           196  5.999999999999929E-006
cached_o2           196  6.999999999999953E-006
both_o2           196  5.000000000000013E-006
builtin_o2           196  6.000000000000037E-006
basic           225  3.600000000000001E-005
dotproduct           225  2.000000000000005E-005
cached           225  3.600000000000001E-005
both           225  2.400000000000004E-005
builtin           225  3.700000000000003E-005
basic_o2           225  7.000000000000062E-006
dotproduct_o2           225  5.999999999999929E-006
cached_o2           225  8.000000000000086E-006
both_o2           225  7.000000000000062E-006
builtin_o2           225  7.999999999999978E-006
basic           256  4.299999999999996E-005
dotproduct           256  2.400000000000004E-005
cached           256  4.300000000000007E-005
both           256  2.899999999999995E-005
builtin           256  4.500000000000001E-005
basic_o2           256  3.999999999999989E-006
