n   time 
           9  2.000000000000049E-006
          16  2.000000000000049E-006
          25  3.000000000000073E-006
          36  3.999999999999989E-006
          49  5.000000000000013E-006
          64  7.000000000000062E-006
          81  9.000000000000002E-006
         100  1.199999999999997E-005
         121  1.500000000000004E-005
         144  1.899999999999992E-005
         169  2.400000000000004E-005
         196  2.999999999999997E-005
         225  3.500000000000009E-005
         256  4.399999999999999E-005
         289  5.099999999999994E-005
         324  5.999999999999994E-005
         361  7.600000000000000E-005
         400  8.199999999999993E-005
         441  9.500000000000003E-005
         484  1.080000000000000E-004
         529  1.230000000000000E-004
         576  1.410000000000000E-004
         625  1.580000000000000E-004
         676  1.780000000000000E-004
         729  1.990000000000000E-004
         784  2.220000000000000E-004
         841  2.460000000000000E-004
         900  2.719999999999999E-004
         961  2.999999999999999E-004
        1024  3.190000000000001E-004
        1089  3.500000000000001E-004
        1156  3.950000000000000E-004
        1225  4.259999999999999E-004
        1296  4.689999999999999E-004
        1369  4.929999999999999E-004
        1444  5.619999999999999E-004
        1521  5.960000000000000E-004
        1600  6.630000000000000E-004
        1681  6.929999999999999E-004
        1764  7.689999999999999E-004
        1849  7.989999999999999E-004
        1936  9.259999999999998E-004
        2025  9.390000000000001E-004
        2116  1.040000000000000E-003
        2209  1.042000000000000E-003
        2304  1.324000000000000E-003
        2401  1.144000000000000E-003
        2500  1.216000000000000E-003
        2601  1.338000000000000E-003
        2704  1.416000000000000E-003
        2809  1.505000000000000E-003
        2916  1.596000000000000E-003
        3025  1.709000000000000E-003
        3136  1.774000000000000E-003
        3249  2.007000000000000E-003
        3364  1.979000000000000E-003
        3481  2.101000000000000E-003
        3600  2.199000000000000E-003
        3721  2.307000000000000E-003
        3844  2.427000000000000E-003
        3969  2.545000000000000E-003
        4096  2.647000000000000E-003
        4225  2.783000000000000E-003
        4356  2.922000000000000E-003
        4489  3.056000000000000E-003
        4624  3.197999999999999E-003
        4761  3.342000000000000E-003
        4900  3.472000000000000E-003
        5041  3.638000000000000E-003
        5184  3.842000000000000E-003
        5329  3.926000000000000E-003
        5476  4.113000000000000E-003
        5625  4.334000000000000E-003
        5776  4.506000000000000E-003
        5929  4.695000000000000E-003
        6084  4.857000000000000E-003
        6241  5.067000000000000E-003
        6400  5.203000000000000E-003
        6561  5.430000000000000E-003
        6724  5.618000000000000E-003
        6889  5.819000000000000E-003
        7056  6.087000000000000E-003
        7225  6.240000000000000E-003
        7396  6.493000000000001E-003
        7569  6.705000000000000E-003
        7744  6.678000000000000E-003
        7921  7.205000000000000E-003
        8100  7.435000000000000E-003
        8281  7.610000000000000E-003
        8464  7.862999999999998E-003
        8649  8.083999999999999E-003
        8836  8.642000000000000E-003
        9025  8.594999999999998E-003
        9216  8.962999999999999E-003
        9409  1.025600000000000E-002
        9604  1.061400000000000E-002
        9801  1.103500000000000E-002
       10000  9.927000000000000E-003
       10201  1.033700000000000E-002
       10404  1.046300000000000E-002
       10609  1.086200000000000E-002
       10816  1.141000000000000E-002
       11025  1.191800000000000E-002
       11236  1.203900000000000E-002
       11449  1.248700000000000E-002
       11664  1.279700000000000E-002
       11881  1.315900000000000E-002
       12100  1.355600000000000E-002
       12321  1.318900000000000E-002
       12544  1.387200000000000E-002
       12769  1.468600000000000E-002
       12996  1.454500000000000E-002
       13225  1.506300000000000E-002
       13456  1.501900000000000E-002
       13689  1.545900000000000E-002
       13924  1.627300000000000E-002
       14161  1.634000000000000E-002
       14400  1.652900000000000E-002
       14641  1.713400000000000E-002
       14884  1.839200000000000E-002
       15129  1.780700000000000E-002
       15376  1.887300000000000E-002
       15625  1.914700000000000E-002
       15876  1.980800000000000E-002
       16129  2.030100000000000E-002
       16384  2.241900000000000E-002
       16641  2.126100000000000E-002
       16900  2.224700000000000E-002
       17161  2.276900000000000E-002
       17424  2.224500000000000E-002
       17689  2.287200000000000E-002
       17956  2.282900000000000E-002
       18225  2.455200000000000E-002
       18496  2.473100000000000E-002
       18769  2.772600000000000E-002
       19044  2.504800000000000E-002
       19321  2.536400000000000E-002
       19600  2.635000000000000E-002
       19881  2.720100000000000E-002
       20164  2.814400000000000E-002
       20449  2.827100000000000E-002
       20736  2.910000000000000E-002
       21025  2.930200000000000E-002
       21316  2.996500000000000E-002
       21609  3.135500000000000E-002
       21904  3.195300000000000E-002
       22201  3.316700000000000E-002
       22500  3.339700000000000E-002
       22801  3.334500000000000E-002
       23104  3.384100000000000E-002
       23409  3.521200000000000E-002
       23716  3.667700000000000E-002
       24025  3.672500000000000E-002
       24336  3.639500000000000E-002
       24649  3.758300000000000E-002
       24964  3.810700000000000E-002
       25281  3.875900000000000E-002
       25600  4.111800000000000E-002
       25921  3.912100000000000E-002
       26244  4.128900000000000E-002
       26569  4.113300000000000E-002
       26896  4.310500000000000E-002
       27225  4.323100000000000E-002
       27556  4.392900000000000E-002
       27889  4.384200000000000E-002
       28224  4.596600000000000E-002
       28561  4.549300000000001E-002
       28900  4.541200000000000E-002
       29241  5.057700000000000E-002
       29584  4.773700000000000E-002
       29929  4.976400000000000E-002
       30276  4.997700000000000E-002
       30625  5.096200000000000E-002
       30976  5.193900000000000E-002
       31329  5.359800000000001E-002
       31684  5.470100000000000E-002
       32041  5.474400000000000E-002
       32400  5.917900000000000E-002
       32761  5.770600000000000E-002
       33124  5.791500000000000E-002
       33489  5.849700000000000E-002
       33856  5.795100000000000E-002
       34225  6.084000000000000E-002
       34596  6.145500000000000E-002
       34969  6.275300000000000E-002
       35344  6.287200000000000E-002
       35721  6.533199999999999E-002
       36100  6.468399999999999E-002
       36481  6.686599999999999E-002
       36864  7.587800000000000E-002
       37249  6.699999999999999E-002
       37636  7.015299999999999E-002
       38025  7.241499999999999E-002
       38416  7.628300000000000E-002
       38809  8.002400000000000E-002
       39204  7.478200000000000E-002
       39601  7.667100000000000E-002
       40000  7.740599999999999E-002
       40401  7.829000000000000E-002
       40804  8.176800000000001E-002
       41209  8.146900000000000E-002
       41616  8.094399999999999E-002
       42025  8.946600000000000E-002
       42436  8.681499999999999E-002
       42849  8.815200000000001E-002
       43264  8.746000000000000E-002
       43681  8.881500000000001E-002
       44100  8.959300000000001E-002
       44521  9.185299999999999E-002
       44944  9.424099999999999E-002
       45369  9.320300000000001E-002
       45796  9.432700000000001E-002
       46225  9.659100000000001E-002
       46656  9.930500000000000E-002
       47089  9.952600000000000E-002
       47524  9.983900000000000E-002
       47961  0.100184000000000     
       48400  0.105462000000000     
       48841  0.104212000000000     
       49284  0.106591000000000     
       49729  0.108965000000000     
       50176  0.118436000000000     
       50625  0.109861000000000     
       51076  0.109531000000000     
       51529  0.112743000000000     
       51984  0.118816000000000     
       52441  0.114500000000000     
       52900  0.119694000000000     
       53361  0.119020000000000     
       53824  0.121189000000000     
       54289  0.123592000000000     
       54756  0.123875000000000     
       55225  0.126787000000000     
       55696  0.125512000000000     
       56169  0.133389000000000     
       56644  0.134753000000000     
       57121  0.136485000000000     
       57600  0.142603000000000     
       58081  0.150397000000000     
       58564  0.147106000000000     
       59049  0.144198000000000     
       59536  0.142216000000000     
       60025  0.143054000000000     
