n   time 
           9  2.000000000000049E-006
          16  1.999999999999940E-006
          25  2.000000000000049E-006
          36  2.999999999999965E-006
          49  5.000000000000013E-006
          64  5.999999999999929E-006
          81  7.000000000000062E-006
         100  7.999999999999978E-006
         121  1.100000000000005E-005
         144  1.399999999999991E-005
         169  1.700000000000009E-005
         196  1.900000000000003E-005
         225  2.300000000000002E-005
         256  2.800000000000003E-005
         289  3.299999999999993E-005
         324  4.000000000000000E-005
         361  4.700000000000006E-005
         400  5.299999999999999E-005
         441  6.099999999999996E-005
         484  6.999999999999997E-005
         529  7.900000000000008E-005
         576  8.899999999999999E-005
         625  1.010000000000000E-004
         676  1.129999999999999E-004
         729  1.260000000000000E-004
         784  1.410000000000000E-004
         841  1.550000000000000E-004
         900  1.720000000000000E-004
         961  2.050000000000000E-004
        1024  2.010000000000000E-004
        1089  2.269999999999999E-004
        1156  2.490000000000000E-004
        1225  2.620000000000000E-004
        1296  3.040000000000001E-004
        1369  3.089999999999998E-004
        1444  3.560000000000001E-004
        1521  3.730000000000001E-004
        1600  4.140000000000000E-004
        1681  4.320000000000001E-004
        1764  4.639999999999999E-004
        1849  4.980000000000000E-004
        1936  5.329999999999999E-004
        2025  5.700000000000000E-004
        2116  6.210000000000001E-004
        2209  6.479999999999999E-004
        2304  6.680000000000000E-004
        2401  7.549999999999999E-004
        2500  7.959999999999999E-004
        2601  8.339999999999999E-004
        2704  8.770000000000001E-004
        2809  9.289999999999999E-004
        2916  9.809999999999999E-004
        3025  1.053000000000000E-003
        3136  1.093000000000000E-003
        3249  1.156000000000000E-003
        3364  1.216000000000000E-003
        3481  1.298000000000000E-003
        3600  1.369000000000000E-003
        3721  1.425000000000000E-003
        3844  1.487000000000000E-003
        3969  1.559000000000000E-003
        4096  1.649000000000000E-003
        4225  1.713000000000000E-003
        4356  1.801000000000000E-003
        4489  1.877000000000000E-003
        4624  1.970000000000000E-003
        4761  2.048000000000000E-003
        4900  2.144000000000000E-003
        5041  2.242000000000000E-003
        5184  2.334000000000000E-003
        5329  2.471000000000000E-003
        5476  2.617000000000000E-003
        5625  2.677000000000000E-003
        5776  2.782000000000000E-003
        5929  2.888000000000000E-003
        6084  3.014000000000000E-003
        6241  3.128000000000000E-003
        6400  3.233000000000000E-003
        6561  3.366000000000000E-003
        6724  3.509000000000000E-003
        6889  3.620000000000000E-003
        7056  3.743000000000000E-003
        7225  3.881000000000000E-003
        7396  3.980000000000000E-003
        7569  4.059000000000000E-003
        7744  4.142000000000000E-003
        7921  4.411000000000000E-003
        8100  4.540000000000000E-003
        8281  4.704000000000000E-003
        8464  4.847000000000001E-003
        8649  5.042000000000000E-003
        8836  5.108000000000000E-003
        9025  5.415000000000000E-003
        9216  6.232000000000000E-003
        9409  6.376000000000000E-003
        9604  6.579000000000000E-003
        9801  6.011000000000000E-003
       10000  6.179000000000000E-003
       10201  6.550000000000000E-003
       10404  6.582000000000000E-003
       10609  6.886000000000000E-003
       10816  7.054000000000000E-003
       11025  6.963000000000000E-003
       11236  7.587000000000000E-003
       11449  7.820000000000001E-003
       11664  7.911000000000000E-003
       11881  8.243000000000000E-003
       12100  7.963999999999999E-003
       12321  8.813999999999999E-003
       12544  8.874000000000000E-003
       12769  8.973000000000000E-003
       12996  9.219000000000001E-003
       13225  9.088000000000001E-003
       13456  9.363000000000000E-003
       13689  9.825000000000000E-003
       13924  1.033300000000000E-002
       14161  1.020000000000000E-002
       14400  9.849000000000000E-003
       14641  1.128000000000000E-002
       14884  1.095300000000000E-002
       15129  1.141200000000000E-002
       15376  1.134400000000000E-002
       15625  1.203600000000000E-002
       15876  1.208300000000000E-002
       16129  1.260200000000000E-002
       16384  1.342700000000000E-002
       16641  1.374200000000000E-002
       16900  1.460200000000000E-002
       17161  1.345300000000000E-002
       17424  1.401200000000000E-002
       17689  1.492300000000000E-002
       17956  1.525500000000000E-002
       18225  1.525300000000000E-002
       18496  1.630200000000000E-002
       18769  1.578200000000000E-002
       19044  1.627300000000000E-002
       19321  1.575100000000000E-002
       19600  1.560000000000000E-002
       19881  1.714600000000000E-002
       20164  1.760800000000000E-002
       20449  1.758600000000000E-002
       20736  1.804400000000000E-002
       21025  1.892800000000000E-002
       21316  1.881800000000000E-002
       21609  1.936300000000000E-002
       21904  1.940500000000000E-002
       22201  1.992600000000000E-002
       22500  2.042900000000000E-002
       22801  2.015500000000000E-002
       23104  2.050500000000000E-002
       23409  2.259300000000000E-002
       23716  2.244900000000000E-002
       24025  2.279200000000000E-002
       24336  2.348200000000000E-002
       24649  2.328000000000000E-002
       24964  2.379900000000000E-002
       25281  2.325600000000000E-002
       25600  2.574700000000000E-002
       25921  2.562000000000000E-002
       26244  2.470600000000000E-002
       26569  2.685000000000000E-002
       26896  2.679200000000000E-002
       27225  2.605600000000000E-002
       27556  2.780100000000000E-002
       27889  2.840900000000000E-002
       28224  2.816300000000000E-002
       28561  3.067500000000000E-002
       28900  3.030300000000000E-002
       29241  3.205300000000000E-002
       29584  3.111600000000000E-002
       29929  3.165600000000000E-002
       30276  3.234900000000000E-002
       30625  3.313500000000000E-002
       30976  3.333600000000000E-002
       31329  3.503700000000000E-002
       31684  3.463400000000000E-002
       32041  3.560900000000000E-002
       32400  3.515800000000000E-002
       32761  3.590200000000000E-002
       33124  3.746900000000000E-002
       33489  3.598200000000000E-002
       33856  3.798600000000000E-002
       34225  3.962200000000000E-002
       34596  3.905700000000000E-002
       34969  4.112300000000001E-002
       35344  4.010300000000000E-002
       35721  4.021100000000000E-002
       36100  4.158800000000000E-002
       36481  4.386600000000000E-002
       36864  4.841500000000000E-002
       37249  4.342300000000000E-002
       37636  4.522100000000000E-002
       38025  4.695900000000000E-002
       38416  4.734900000000000E-002
       38809  5.036100000000000E-002
       39204  4.896100000000000E-002
       39601  4.945200000000000E-002
       40000  4.788000000000000E-002
       40401  5.302500000000000E-002
       40804  5.290000000000000E-002
       41209  5.580599999999999E-002
       41616  5.479500000000000E-002
       42025  6.057700000000000E-002
       42436  5.855500000000000E-002
       42849  5.716400000000000E-002
       43264  5.869500000000000E-002
       43681  5.980200000000000E-002
       44100  5.835100000000000E-002
       44521  5.936500000000000E-002
       44944  6.172800000000000E-002
       45369  6.420000000000001E-002
       45796  6.499900000000000E-002
       46225  6.529400000000000E-002
       46656  6.498300000000001E-002
       47089  6.695400000000000E-002
       47524  6.555999999999999E-002
       47961  6.788499999999999E-002
       48400  6.762700000000001E-002
       48841  6.961800000000000E-002
       49284  7.214200000000000E-002
       49729  7.121900000000000E-002
       50176  7.468900000000001E-002
       50625  7.366299999999999E-002
       51076  7.652399999999999E-002
       51529  7.350500000000000E-002
       51984  7.577900000000000E-002
       52441  7.932800000000000E-002
       52900  7.934100000000001E-002
       53361  7.767800000000000E-002
       53824  7.998000000000000E-002
       54289  8.233599999999999E-002
       54756  8.223000000000001E-002
       55225  8.435700000000000E-002
       55696  8.599400000000000E-002
       56169  8.685400000000000E-002
       56644  8.863900000000000E-002
       57121  9.135499999999999E-002
       57600  9.441600000000000E-002
       58081  0.101979000000000     
       58564  9.192300000000000E-002
       59049  0.115458000000000     
       59536  9.540200000000000E-002
       60025  9.495100000000001E-002
       60516  9.660099999999999E-002
       61009  9.827899999999999E-002
       61504  9.875600000000000E-002
       62001  0.101503000000000     
       62500  0.110206000000000     
       63001  0.103602000000000     
       63504  0.104156000000000     
