n   time 
           9  2.000000000000049E-006
          16  2.999999999999965E-006
          25  3.000000000000073E-006
          36  3.999999999999989E-006
          49  5.000000000000013E-006
          64  6.999999999999953E-006
          81  9.000000000000002E-006
         100  1.199999999999997E-005
         121  1.999999999999994E-005
         144  1.899999999999992E-005
         169  2.200000000000010E-005
         196  2.999999999999997E-005
         225  3.499999999999998E-005
         256  4.500000000000001E-005
         289  5.199999999999996E-005
         324  1.160000000000000E-004
         361  6.999999999999997E-005
         400  8.300000000000007E-005
         441  9.699999999999997E-005
         484  1.090000000000000E-004
         529  1.240000000000000E-004
         576  1.410000000000000E-004
         625  1.590000000000001E-004
         676  2.880000000000001E-004
         729  2.020000000000000E-004
         784  2.220000000000000E-004
         841  2.460000000000001E-004
         900  2.720000000000000E-004
         961  3.030000000000000E-004
        1024  3.200000000000001E-004
        1089  3.499999999999999E-004
        1156  3.820000000000001E-004
        1225  4.230000000000000E-004
        1296  4.770000000000000E-004
        1369  5.320000000000001E-004
        1444  5.509999999999999E-004
        1521  5.950000000000000E-004
        1600  6.500000000000001E-004
        1681  7.050000000000000E-004
        1764  7.559999999999999E-004
        1849  8.079999999999999E-004
        1936  8.760000000000000E-004
        2025  9.389999999999999E-004
        2116  9.760000000000001E-004
        2209  1.039000000000000E-003
        2304  1.088000000000000E-003
        2401  1.141000000000000E-003
        2500  1.277000000000000E-003
        2601  1.328000000000000E-003
        2704  1.414000000000000E-003
        2809  1.498000000000000E-003
        2916  1.584000000000000E-003
        3025  1.665000000000000E-003
        3136  1.757000000000000E-003
        3249  1.866000000000000E-003
        3364  2.117000000000000E-003
        3481  2.103000000000000E-003
        3600  2.184000000000000E-003
        3721  2.299000000000000E-003
        3844  2.407000000000000E-003
        3969  2.524000000000000E-003
        4096  2.640000000000000E-003
        4225  2.782000000000000E-003
        4356  2.909000000000000E-003
        4489  3.042000000000000E-003
        4624  3.217000000000000E-003
        4761  3.320000000000000E-003
        4900  3.474000000000000E-003
        5041  3.640000000000000E-003
        5184  3.811000000000000E-003
        5329  3.938000000000000E-003
        5476  4.434000000000000E-003
        5625  4.311000000000000E-003
        5776  4.503000000000000E-003
        5929  4.635999999999999E-003
        6084  4.817999999999999E-003
        6241  5.005000000000000E-003
        6400  5.258000000000001E-003
        6561  5.399000000000000E-003
        6724  5.603000000000000E-003
        6889  5.798000000000000E-003
        7056  6.051000000000000E-003
        7225  6.234999999999999E-003
        7396  6.465000000000000E-003
        7569  6.689000000000001E-003
        7744  6.810000000000000E-003
        7921  7.062000000000000E-003
        8100  7.402000000000001E-003
        8281  7.628000000000000E-003
        8464  7.951000000000000E-003
        8649  8.213999999999999E-003
        8836  8.284000000000000E-003
        9025  8.546000000000000E-003
        9216  9.820000000000001E-003
        9409  1.030000000000000E-002
        9604  1.056200000000000E-002
        9801  1.077800000000000E-002
       10000  1.003500000000000E-002
       10201  1.018200000000000E-002
       10404  1.045900000000000E-002
       10609  1.107300000000000E-002
       10816  1.146500000000000E-002
       11025  1.171500000000000E-002
       11236  1.209300000000000E-002
       11449  1.241600000000000E-002
       11664  1.227000000000000E-002
       11881  1.309500000000000E-002
       12100  1.342500000000000E-002
       12321  1.340700000000000E-002
       12544  1.428600000000000E-002
       12769  1.473700000000000E-002
       12996  1.449300000000000E-002
       13225  1.463600000000000E-002
       13456  1.534500000000000E-002
       13689  1.550100000000000E-002
       13924  1.729700000000000E-002
       14161  1.698200000000000E-002
       14400  1.728800000000000E-002
       14641  1.727900000000000E-002
       14884  1.829800000000000E-002
       15129  1.835100000000000E-002
       15376  1.890200000000000E-002
       15625  1.928600000000000E-002
       15876  1.957600000000000E-002
       16129  2.038500000000000E-002
       16384  2.037400000000000E-002
       16641  2.176300000000000E-002
       16900  2.230600000000000E-002
       17161  2.233500000000000E-002
       17424  2.223500000000000E-002
       17689  2.342200000000000E-002
       17956  2.433300000000000E-002
       18225  2.312400000000000E-002
       18496  2.610100000000000E-002
       18769  2.533300000000000E-002
       19044  2.496400000000000E-002
       19321  2.641100000000000E-002
       19600  2.554900000000000E-002
       19881  2.766100000000000E-002
       20164  3.073200000000000E-002
       20449  2.865200000000000E-002
       20736  2.906600000000000E-002
       21025  2.992600000000000E-002
       21316  2.932700000000000E-002
       21609  3.065300000000000E-002
       21904  3.169600000000000E-002
       22201  3.224700000000000E-002
       22500  3.353900000000001E-002
       22801  3.384700000000000E-002
       23104  3.415800000000000E-002
       23409  3.466200000000000E-002
       23716  3.394700000000000E-002
       24025  3.651799999999999E-002
       24336  3.765400000000000E-002
       24649  3.787099999999999E-002
