n   time 
           9  2.000000000000049E-006
          16  2.999999999999965E-006
          25  2.999999999999965E-006
          36  5.000000000000013E-006
          49  5.999999999999929E-006
          64  5.000000000000013E-006
          81  1.099999999999994E-005
         100  1.299999999999999E-005
         121  9.999999999999918E-006
         144  1.100000000000005E-005
         169  2.400000000000015E-005
         196  1.599999999999996E-005
         225  2.000000000000005E-005
         256  7.899999999999997E-005
         289  2.800000000000003E-005
         324  3.200000000000002E-005
         361  3.700000000000003E-005
         400  4.199999999999994E-005
         441  4.800000000000008E-005
         484  5.500000000000004E-005
         529  6.199999999999999E-005
         576  7.000000000000008E-005
         625  7.799999999999994E-005
         676  8.600000000000003E-005
         729  9.600000000000006E-005
         784  1.060000000000000E-004
         841  1.170000000000000E-004
         900  1.290000000000000E-004
         961  1.420000000000001E-004
        1024  2.339999999999999E-004
        1089  1.640000000000001E-004
        1156  1.789999999999999E-004
        1225  1.939999999999999E-004
        1296  2.249999999999999E-004
        1369  2.209999999999998E-004
        1444  2.630000000000000E-004
        1521  2.729999999999999E-004
        1600  3.040000000000000E-004
        1681  3.160000000000000E-004
        1764  3.390000000000000E-004
        1849  4.169999999999999E-004
        1936  3.870000000000001E-004
        2025  4.150000000000000E-004
        2116  4.409999999999999E-004
        2209  4.890000000000000E-004
        2304  5.080000000000001E-004
        2401  5.319999999999999E-004
        2500  5.870000000000001E-004
        2601  6.110000000000001E-004
        2704  6.520000000000000E-004
        2809  6.730000000000000E-004
        2916  7.100000000000000E-004
        3025  7.490000000000001E-004
        3136  7.970000000000001E-004
        3249  8.330000000000000E-004
        3364  8.819999999999999E-004
        3481  9.210000000000001E-004
        3600  9.650000000000000E-004
        3721  1.013000000000000E-003
        3844  1.070000000000000E-003
        3969  1.119000000000000E-003
        4096  1.197000000000000E-003
        4225  1.217000000000000E-003
        4356  1.271000000000000E-003
        4489  1.331000000000000E-003
        4624  1.390000000000000E-003
        4761  1.451000000000000E-003
        4900  1.511000000000000E-003
        5041  1.576000000000000E-003
        5184  1.641000000000000E-003
        5329  1.750000000000000E-003
        5476  1.830000000000000E-003
        5625  1.905000000000000E-003
        5776  1.955000000000000E-003
        5929  2.050000000000000E-003
        6084  2.117000000000000E-003
        6241  2.245000000000000E-003
        6400  2.260000000000000E-003
        6561  2.371000000000000E-003
        6724  2.441000000000000E-003
        6889  2.563000000000000E-003
        7056  2.625000000000000E-003
        7225  2.733000000000000E-003
        7396  2.819000000000000E-003
        7569  2.867000000000000E-003
        7744  2.899000000000000E-003
        7921  2.958000000000000E-003
        8100  3.170000000000000E-003
        8281  3.269000000000000E-003
        8464  3.384000000000000E-003
        8649  3.590000000000000E-003
        8836  3.465999999999999E-003
        9025  3.704000000000000E-003
        9216  3.938000000000001E-003
        9409  4.465000000000000E-003
        9604  4.567000000000000E-003
        9801  4.728000000000000E-003
       10000  4.330000000000000E-003
       10201  4.427000000000000E-003
       10404  4.519000000000000E-003
       10609  4.760000000000000E-003
       10816  4.907000000000000E-003
       11025  5.089000000000001E-003
       11236  5.061000000000000E-003
       11449  5.366999999999999E-003
       11664  5.412999999999999E-003
       11881  5.684000000000000E-003
       12100  5.788000000000001E-003
       12321  5.832000000000000E-003
       12544  6.073000000000000E-003
       12769  6.305000000000000E-003
       12996  6.397000000000000E-003
       13225  6.411000000000000E-003
       13456  6.399999999999999E-003
       13689  6.656000000000000E-003
       13924  7.825000000000000E-003
       14161  6.942000000000000E-003
       14400  7.286999999999999E-003
       14641  7.431000000000000E-003
       14884  7.837999999999999E-003
       15129  7.483000000000001E-003
       15376  8.033000000000000E-003
       15625  8.286000000000000E-003
       15876  8.466000000000000E-003
       16129  8.735999999999999E-003
       16384  9.731000000000000E-003
       16641  9.290000000000000E-003
       16900  9.458999999999999E-003
       17161  9.729999999999999E-003
       17424  9.769999999999999E-003
       17689  9.719999999999999E-003
       17956  1.034000000000000E-002
       18225  1.026300000000000E-002
       18496  1.042200000000000E-002
       18769  1.116600000000000E-002
       19044  1.057100000000000E-002
       19321  1.124600000000000E-002
       19600  1.127400000000000E-002
       19881  1.168800000000000E-002
       20164  1.174800000000000E-002
       20449  1.200300000000000E-002
       20736  1.239500000000000E-002
       21025  1.205300000000000E-002
       21316  1.265700000000000E-002
       21609  1.305800000000000E-002
       21904  1.341300000000000E-002
       22201  1.392100000000000E-002
       22500  1.374600000000000E-002
       22801  1.466100000000000E-002
       23104  1.431100000000000E-002
       23409  1.512100000000000E-002
       23716  1.536700000000000E-002
       24025  1.555500000000000E-002
       24336  1.575200000000000E-002
       24649  1.682500000000000E-002
